union_name,union_category,tag,union_introduction
Enter Society,기획,"기획, 번개","<Enter Society>는 다양한 사람이 모여 도전, 여행, 생존 등의 주어진 임무를 수행하는 리얼 버라이어티 형태의 콘텐츠를 기획하고 참여하는 동아리입니다.

어렸을 적에 놀이터에서 친구들과 새로운 게임을 만들고 뛰어놀던 기억이 생생하지 않나요?! 시간이 지나면서 우리는 점점 이러한 경험을 미디어를 통해 간접적으로만 접하고 있습니다.
<미션장소에서 미션을 수행해 내는 런닝맨>, <수많은 도전과 추격전이 있었던 무한도전>, <심리전의 더 지니어스> 등등 우리는 다양한 콘텐츠를 접하지만 이를 눈으로만 감상할뿐 실제로 경험하기에는 현실적인 여건이 부족했습니다. 😔😔

<Enter Society>는 그래서 생각했습니다❗️ ""어떻게 하면 우리가 Tv예능에서 봤던 콘텐츠들을 직접 기획해보며 체험할 수 있을까?""
리얼 버라이어티 콘텐츠를 기획, 체험하는 일이 어려운 이유는 기획과 운영 및 체험을 위한 시스템을 갖추기 어렵고 일반인이 접할 기회가 부족하기 때문이라고 생각했습니다.
<Enter Society>는 기획하는 사람과 체험하는 사람을 분리하지 않는 새로운 사회를 구축한 동아리 입니다. 저희는 체험하는 사람도 기획하게 되는 순환이 이뤄질 수 있도록 시스템을 구현해 동아리를 만들었습니다. 🔥🔥"
UMA,학술,"심리학, 스터디","대주제에 따른 분과별 연구 진행
UMA 워크샵 및 학술제, 한국심리학회 학술대회 참여
기존에 비해 다양해진 8개 분과
-발달, 범죄, 사회, 산업및조직, 상담, 소비자광고, 인지, 임상"
수상한 상점,제작,"굿즈, 제작","손재주는 없는 당신이 동아리의 특색이 되는 수상한 상점에 어서오세요 🍄
내가 만들면 수상해지는 굿즈 아이템들.. 온갖 굿즈가 수상한 똥손 대학생들의 모임 🫳🏻💩"
성불회,종교,"불교, 템플 스테이, 법회","교내 유일 불교동아리 성불회에서 언제나 신입 법우님들을 환영합니다🪷
성균관대학교 유일 불교동아리, 성불회입니다."
글을 잊은 당신에게,글쓰기,"글쓰기, 소모임, 합평","안녕하세요. 성균관대학교 자연과학캠퍼스 글쓰기 모임 '글을 잊은 당신에게'입니다.

'글을 잊은 당신에게'는 재밌고 편하게 글을 써보자는 취지로 만들어진 소모임으로, 2022년 5월부터 꾸준히 활동 중입니다.
일주일에 한 번 만나 글을 쓰는 정기 모임을 가지고 방학 중에는 독서 활동을 진행합니다.

지난 겨울에는 그동안의 글을 모으고 다듬어 한 차례 문집을 발간하였습니다. 이번 학기에도 글이 충분히 모인다면 문집을 낼 예정입니다.
글쓰기에 관심 있는 분들의 많은 신청 바랍니다 :)
"
텐데이즈,봉사,"유기동물, 봉사","유기공고 기간 10일, 분양기간 10일동안 주인을 만나지 못하면 안락사를 당하는 유기 동물을 체계적으로 돕기 위해 모인 동아리입니다.
"
아이스,스포츠,"야구, 공대","🔥 모집 분야
▶️선수 및 매니저 상시모집 (23학번, 매니저는 회비 면제)
▶️학과 나이 학년 성별 실력 무관!!
▶️공대 소속 동아리로 화공, 신소재, 화학과 부원이 많지만 어떤 학과(계열)던 환영합니다! 아직 학과가 정해지지 않은 새내기도 환영합니다!

🔥 활동 내용
▶️ 야구 연습
글러브가 없어도 야구가 처음이어도 괜찮습니다!! 공용장비로 야구 기초부터 가르쳐드립니다!!
▶️주말 및 공휴일 자연과학리그 참가
연습과 경기 모두 필참해야하는 것은 아닙니다!
개인사정으로 인해 늦참하시거나 일찍 가셔도 괜찮습니다! 저희는 자유로운 분위기 속에서 즐거움을 최우선으로 합니다!"
ACCESS,문화생활,"매거진, 문화, 예술","연세대학교 글로벌지식마케팅경영학회(GAMMA) 소속 문화예술 매거진 ACCESS에서는 현재 다양한 대학교에 재학 중인 부원들이 연합해 활동 중입니다. ACCESS는 지금까지 26호의 잡지를 통해 정상화 작가, 이건용 작가, 서도호 설치예술가, 가수 인순이, 국립현대미술관, 인디뮤지션 김수영 등 다양한 분야의 문화예술인을 취재해왔습니다."
보스턴,보드게임,"보드게임, 번개",보드게임을 스피드하게 턴업하자! 라는 목적으로 만들어진 대학연합 보드게임 동아리입니다.
5.9도씨,사진,"사진, 번개, 친목","안녕하세요. 사진 동아리 오늘의 구도 5.9도씨입니다.

5.9도씨는 오늘의 사진을 담고자 하는 취미&친목 사진 동아리 입니다.
저희는 2주에 한번 동아리 활동을 하고 있으며 정기 모임 외에 운영진 주체로 번개모임도 진행 됩니다.

활동은 현재 날씨가 좋아져서 야외 촬영을 위주로 진행되며 전시회, 미술관 관람 등 실내 촬영 활동도 진행이 됩니다. 이 외에도 사진 찍기 좋은 장소나 컨셉, 테마등이 있으면 어떤 주제든 환영입니다.

저희 동아리 회장님은 다양한 종류의 카메라들을 섭렵한 사진에 진심이신 분이지만 부원들은 핸드폰 카메라만 가지고 있어도 OK이며 전문적인 스킬과 기술을 요구하고 있지 않습니다."
네오,친목,"문화생활, 친목, 사진","‘새로움’을 뜻하는 단어로, 기존 단어 앞에 붙는 접두사입니다 !

평범한 삶을 살아가는 우리의 앞에 NE:O가 붙어 새롭고 신선한 추억을 쌓아가자는 의미가 있습니다 😊

❗️네오의 지향성
네오는 활동, 교류, 소속감을 지향하는 동아리입니다.

색다른 경험을 하고 싶을 때, 가보고 싶은 장소가 생길 때 언제든 편하게 같이할 수 있는 동아리를 만드는 것이 네오가 공유하는 가치관입니다 !

🔥 20대 초반의 젊음, 다시 돌아오지 않습니다. 🩵네오🩵에서 폭넓은 사람들과 잊지못할 추억을 만들어나갈 학생들을 찾습니다."
레이브,문화생활,"문화생활, 기획, 파티, 디제잉","1) 레이브는 어떤 동아리인가요?

레이브(RAVE)는 ‘Radical Audio Visual Experience’의 약자로
🔥 멋있는 취향을 공유하는 동아리 🔥 라는 슬로건을 가지고 있습니다!

2) 레이브에서는 어떤 활동을 하나요?

📌 다양한 문화 활동 기획 및 참여(파티, 전시회, 영화, 페스티벌, 패션, 미술, 스포츠 등)
📌 디제잉 활동(디제잉 레슨, 정기 베뉴 디제잉, 사운드클라우드 라디오 믹셋 등)
📌 다양한 파티 기획 및 참여(개강/종강파티, 할로윈 파티, 크리스마스 파티 등)
📌 교내 행사 참여(대동제 무대, 북피크닉 등)
📌 끈끈한 선후배 간의 교류(MT, 개강/종강총회, 신입생 환영회, 번개모임 등)
등의 활동을 하고 있습니다!"
퀴어홀릭,성소수자,"성소수자, 친목","안녕하세요 성균관대학교 성소수자 동아리 퀴어홀릭입니다
어떤 형태이든 함께 사는 우리,
신입부원을 모집합니다.
당신 그대로 환영합니다!😍

🏳️‍⚧️저희 퀴어홀릭은 모든 성소수자 학우가 모일 수 있는 친목 도모 목적의 동아리입니다! 레즈비언, 게이, 바이, 트랜스젠더, 논바이너리, 에이엄, 말로 다 적을 수 없는 다양한 퀴어 학우들과 친목을 다지며 퀴어홀릭과 함께 해요!"
마요레즈,성소수자,"퀴어, 컨텐츠, 영상, 촬영","안녕하세요, 저희 '마요레즈'는 지금까지 제작된 퀴어 컨텐츠의 한계를 벗어나, 밝고 재미있는 여성들의 사랑을 영상에 담고자 하는 목표로 설립된 팀입니다. 지난 1기, 2기에서는 [레즈 드라마의 주인공이 된다면], [비밀 연애 유지 각서]를 제작하여 각각 유튜브에서 6.5만 뷰, 14만 뷰를 달성하였습니다.

학교, 나이, 전공에 상관없이 레즈비언 컨텐츠를 제작하고 싶은 모든 분들을 기다리고 있습니다.

전 과정에 무리 없이 참여할 수 있도록 3회 이상의 스터디를 계획중이니, 촬영에 대하여 잘 모르시더라도 괜찮습니다.

영상물 제작은 많은 노력과 시간이 필요하지만, 그 이상의 재미와 보람이 남는 활동입니다. 마요레즈 팀원으로 활동하며 평생 잊을 수 없는 추억을 함께 만들어가시면 좋겠습니다."
WB,패션,"패션, 포트폴리오, 컨텐츠, 스터디, 매거진","동아리 소개
WB 'What's in my box?'

나의 상자 안에는 무엇이 있습니까?

'WB'는 패션이라는 한 주제로 각기 다른 지역에서, 다양한 전공의 사람들이 모여 자신만의 상자를 채워나가는 동아리 입니다.
누군가는 후에 자신의 역량을 보여주기 위해, 다른 누군가는 자신의 꿈을 위해 패션으로 이를 함께 채워나갈 예정입니다.
최종적으로 자신만의 포트폴리오를 만들어나가고, 결과물을 사람들에게 소개하는 것이 목표입니다."
성균기우회,바둑,바둑,"<성균관대학교 중앙 바둑동아리 성균기우회>에서 신입회원을 계속 기다립니다!
🐣성균관대학교 중앙 바둑동아리 성균기우회에서 바둑을 함께 배우고 즐길 신입회원을 모집합니다! 🐣
● 상~~~시 모집이지만 신입생 및 복학생 여러분을 위해 종종 홍보글을 올리고 있습니다 :)"
